tenant_id,source_item_name,canonical_item_name,canonical_category,payroll_behavior,is_taxable,is_epf_applicable,item_type
demo_tenant,Fixed Addition,Fixed Allowance,allowance,recurring,true,true,addition
demo_tenant,Variable Addition,Variable Allowance,allowance,variable,true,true,addition
demo_tenant,Fixed Deduction,Fixed Deduction,deduction,recurring,false,false,deduction
demo_tenant,Variable Deduction,Variable Deduction,deduction,variable,false,false,deduction
demo_tenant,Overtime,Overtime Pay,attendance,variable,true,true,addition
demo_tenant,Over Time,Overtime Pay,attendance,variable,true,true,addition
demo_tenant,OT,Overtime Pay,attendance,variable,true,true,addition
demo_tenant,Bonus,Bonus,incentive,variable,true,true,addition
demo_tenant,No Pay,No Pay Deduction,attendance,variable,false,false,deduction
demo_tenant,Leave,Leave Adjustment,leave,variable,false,false,deduction
demo_tenant,EPF,EPF Contribution,statutory,recurring,false,false,deduction
demo_tenant,ETF,ETF Contribution,statutory,recurring,false,false,deduction
demo_tenant,Payee Tax,Income Tax,statutory,recurring,false,false,deduction
demo_tenant,Income Tax,Income Tax,statutory,recurring,false,false,deduction
